Product Code,First Four Digits,,,,Ctrl  + E,,,,,Product Code,Last Three Digits
1000-165-B100,1000,,,,,,,,,1000-165-B100,B100
1001-540-C101,1001,,,,,,,,,1001-540-C101,C101
1002-394-M102,1002,,,,,,,,,1002-394-M102,M102
1003-307-Q103,1003,,,,,,,,,1003-307-Q103,Q103
1004-848-S104,1004,,,,,,,,,1004-848-S104,S104
1005-155-S105,1005,,,,,,,,,1005-155-S105,S105
1006-552-T106,1006,,,,,,,,,1006-552-T106,T106
1007-634-O107,1007,,,,,,,,,1007-634-O107,O107
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,Product Code,Middle Three Digits
Days,First Alphabet,,,,,,,,,1000-165-B100,165
Monday,M,,,,,,,,,1001-540-C101,540
Tuesday,T,,,,,,,,,1002-394-M102,394
Wednesday,W,,,,,,,,,1003-307-Q103,307
Thursday,T,,,,,,,,,1004-848-S104,848
Friday,F,,,,,,,,,1005-155-S105,155
Saturday,S,,,,,,,,,1006-552-T106,552
Sunday,S,,,,,,,,,1007-634-O107,634
,,,,,,,,,,,
,,,,,,,,,,,
Monday,Mo,,,,Monday,y,,,,,
Tuesday,Tu,,,,Tuesday,y,,,,,
Wednesday,We,,,,Wednesday,y,,,,,
Thursday,Th,,,,Thursday,y,,,,,
Friday,Fr,,,,Friday,y,,,,,
Saturday,Sa,,,,Saturday,y,,,,,
Sunday,Su,,,,Sunday,y,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
First,Second,First-Second,,,,,,,,,
John,Mary,John-Mary,,,,,,,,,
Joseph,Rita,Joseph-Rita,,,,,,,,,
Mary,Neena,Mary-Neena,,,,,,,,,
Jay,Kumar,Jay-Kumar,,,,,,,,,
Robert,Ronny,Robert-Ronny,,,,,,,,,
